,NO-N,NO-S
236,95848.9931982074,162326.9806163684
237,105326.08238632095,186465.27648473575
238,117362.81059257881,218917.0068868182
239,106897.89591666365,223426.2353148367
240,100033.79455498047,214730.87505575217
241,102582.3987170543,217956.20386655148
242,102048.62741375972,211524.43018448044
243,92573.52119271418,204561.5661392057
244,90722.9354084429,193986.31930362806
245,95366.45953330821,220910.3705768538
246,90244.33440428111,204572.7320810202
247,93483.35650563998,191973.01778543091
248,99298.00662435178,200587.64103524262
249,102585.77887160266,171070.54707981812
250,98706.70115118618,147366.40678781885
251,91954.39839921259,155209.3990043752
252,99706.88791345843,186417.56761533816
253,110452.49775000918,193141.064064636
254,110724.84386442092,197166.27917211637
255,100880.081836652,197704.9725613463
256,102285.28300299951,211683.88118887602
257,100057.15246920336,186298.8600383464
258,99634.1056166522,206944.54863582773
259,104126.5091954786,218364.72665667138
260,112012.87850523615,213301.45085057034
261,107351.02553052925,205334.13813068822
262,103482.44056136988,196954.87633601818
263,100205.21113875222,223646.31833098942
264,93085.95958791039,203211.86561007175
265,96438.88696850922,191405.34074665594
266,96006.04518502348,213559.78532750357
267,106085.08979735585,210296.98915199263
268,104775.24272536766,223695.5996697263
269,113566.8100053302,214476.10536786448
270,108481.04092962769,209693.03070052114
271,108423.28145208911,206929.10226296954
272,111325.91199666116,195428.7976038408
273,118180.34422667205,228069.9960753873
274,114889.69731634001,220678.86762282127
275,116514.63382624512,231995.12083679606
276,115859.667267845,240068.0093466752
277,109500.2470071479,223512.6223376909
278,105141.16644606217,230647.9856148069
279,101535.15960941194,209873.12626815005
280,104433.53042062157,213245.32753233105
281,105984.55254637459,228772.38867722743
282,107600.64833841138,231805.9412354561
283,112942.26937709175,251365.92771131825
284,113394.31044083554,248709.55392882935
285,114029.17211602339,227303.77976566585
286,121093.52080113103,222221.49236837553
287,122010.26293553482,243140.31689414228
288,124267.42584113477,258840.92615698438
289,123470.33935141857,240346.25347989536
290,127096.46934826983,248341.8147252691
291,127376.0575854579,252682.47871486525
292,121060.29808299523,200031.50392137637
293,126546.74483975495,204768.74821657306
294,130962.5115759678,236028.15572923954
295,132278.49265388228,232052.56663247282
296,131398.0370071365,237208.49190826344
297,132645.79290656478,220480.62137963835
298,134039.98993075138,218651.34528265288
299,122442.99926609086,236056.56691762956
300,117332.08918753878,240261.919460653
301,127850.62545814074,248872.9087615867
302,132094.17849213505,245519.21167983575
303,131716.01444098997,259715.088438671
304,134271.13062382038,262176.8347494025
305,130912.82846753532,254158.61401896842
306,123790.42932759355,247488.03467193496
307,123289.3936339661,242450.48780666167
308,128372.13715933583,248407.17149342966
309,126051.95635720197,247144.54785237543
310,131830.1591199903,263232.91570768773
311,134135.90315266032,263904.07461107813
312,132909.60935759818,285202.885911947
313,124576.20095922082,270289.6287166614
314,129288.08437067716,252997.67713467253
315,137094.09821948945,274743.5476710717
316,141190.6731136153,294794.2050843361
317,139162.38798064453,298434.9054213454
318,132853.2488125144,288242.19461697957
319,139322.54634349936,282559.3429432736
320,131395.8750495779,266658.6662033496
321,125781.33163917674,273678.62757028727
322,132352.05098681437,298202.1693715835
323,133917.19386231864,282807.27685372974
324,131517.28113986092,292240.62172891235
325,138148.91689199657,298414.65756257315
326,142086.27267458616,288631.20400705206
327,138551.17651357767,270646.9134440852
328,134928.24102922052,276417.4111412052
329,141592.10859745592,312543.15726633475
330,140360.4379538657,303599.65853749576
331,135183.31020537118,325614.06972388644
332,136267.3628059417,328231.8118723859
333,128823.00331369595,338425.8839445826
334,124674.03094004796,299184.7432242896
335,128054.46572212441,289024.46075207426
336,128874.61170138422,333964.16501457954
337,137315.85132822624,317022.2187674918
338,139342.40842587585,330752.87255525496
339,135341.51919262897,308323.21149506606
340,135515.49537104194,297347.134405072
341,137700.70624871485,287373.2871105863
342,131399.62306968315,282003.90300558554
343,143511.7631202473,313447.33990564145
344,142422.37012898066,320855.8190099782
345,135796.24917813932,309174.24290470686
346,139563.0259421746,285549.5833879375
347,135062.69637889197,289015.1778367413
348,140940.427732562,269818.20728684013
349,138880.19669718834,286377.2888611547
350,141484.08905864364,298641.6545563231
351,149369.9350587956,311436.2216612549
352,152654.6920610757,311169.18504551594
353,146751.34563244664,324339.21341522806
354,141725.68486800112,318842.80252572725
355,136095.05396967925,301919.1511911163
356,127588.2956509366,309606.0945552982
357,131686.5688321999,267702.14630281954
358,136576.35858697316,281998.86926860886
359,137830.36051775486,300813.9125853607
360,140044.03679267617,300451.37419774383
361,133263.78792331013,299547.2399322593
362,129072.453514817,298658.7613733668
363,131139.8950149896,307815.7822738365
364,133022.40550033678,293009.4174148151
365,131478.23032637406,290975.2899930959
366,135657.5292786022,299670.486724538
367,135795.09310538875,293301.9130413318
368,139430.1071666432,305868.8842044958
369,132275.57405029167,287898.99717775546
370,129929.1229440963,277387.48521432513
371,144647.08690854508,279628.7210203592
372,145705.50231109624,289611.154914352
373,145801.16482767486,298223.8558745299
374,138055.33530535834,308020.3723535283
375,137741.31000970275,302193.9047986057
376,135623.5675647439,285819.21580304217
377,140654.0383827715,298519.1305604052
378,146687.59716218285,290514.1046998267
379,148271.69310785722,299147.8215117515
380,150655.17036005555,297982.40204092
381,149663.7586967203,292941.64854658546
382,146963.83335028304,321679.6945449069
383,141869.28981692408,319788.8056293862
384,137758.79388010726,300017.4622431485
385,144488.53296269447,323542.9314407464
386,154084.48884790845,343474.1570898952
387,152426.30359589984,339511.5877922385
388,152906.56661386,319644.556646673
389,149274.31177931943,308553.2463097973
390,148419.98703836178,317788.50691432727
391,135905.68866599875,311365.5012565125
392,143853.88884543604,322948.58893625694
393,145955.4851766969,314354.1634881793
394,144362.72134999506,316943.53166630265
395,143118.5988276564,336272.78943505813
396,151082.19966705918,307789.1096292195
397,139736.56710417956,307853.21295380197
398,141051.92317521106,290790.83826570725
399,150240.9561098695,323634.28156343254
400,157068.90505154768,328932.127591155
401,158139.2760665897,322840.443322068
402,146603.34522124488,333693.82171228674
403,146828.64703131764,312537.4807253664
404,139375.95880644137,290851.83568963315
405,129639.93768030839,301374.88232084503
406,126565.2028662283,336895.5947452757
407,137594.65834579966,349915.0273543397
408,141782.88667707387,359013.0474701644
409,141536.12646138138,359128.22496766713
410,138084.71925125152,341877.2638601515
411,135453.43586259248,306785.7525712169
412,138029.61711803477,292042.4723672445
413,142896.969093791,332057.4294356019
414,147456.41795238812,338186.67962573434
415,150933.94029795378,336893.40560156433
416,151151.83076197587,321562.84712584136
417,152106.5897489881,307533.3108509565
418,145770.11060314387,300258.7429054744
419,137395.3394827971,284617.8699288318
420,141915.97160652472,313933.2203869552
421,135141.45388102176,309149.25351490773
422,131251.12682729797,301401.83631280484
423,132457.58432084243,267089.52009121305
424,132597.50345894962,282784.8629432628
425,123396.77907516346,258646.01026298973
426,123594.02439428476,265789.34587548673
427,135241.525005825,305937.8905751783
428,136911.12956043833,300526.80919328483
429,136892.74832125715,311468.1293521202
430,134556.46879512488,312018.8002704738
431,135544.87607013813,310253.0451669188
432,134922.36971183112,287724.3668833331
433,134064.29947656172,267183.5839916434
434,144413.1346965219,299210.5353419145
435,136273.08255291864,310325.6738528051
436,143728.19108962387,311887.54406602867
437,147937.79379761248,305528.82297057705
438,148359.1450407833,300545.7960961523
439,137399.2294336098,272341.46129662136
440,133633.19444396015,275826.34708879056
441,127922.0960359821,304211.10803354945
442,128381.49406457864,308083.2914436603
443,129124.49648668568,292920.4447924928
444,138430.5419545747,284396.70500282675
445,134538.22653179945,283681.8756396579
446,126868.28444293531,264140.4485142992
447,121933.60984605669,263277.6121475543
448,129689.38773495675,295589.19953254214
449,118247.83263513175,297754.9380262367
450,116723.50507572075,276621.5813122637
451,113921.68065192115,258700.16612446908
452,115390.40303332776,254274.9255674978
453,115826.35620928174,267893.0361003692
454,109381.21405900769,274756.26995496056
455,114171.90520161728,278248.3298452147
456,125867.09798182914,280832.4241957096
457,121507.65958678287,283808.04312368704
458,120383.60974863142,258136.95562010238
459,119051.83616862918,255578.30487983074
460,119035.4662657944,272951.22898229526
461,114774.50506346948,254622.88358226017
462,123800.57738378318,281097.86594477005
463,120844.79193360788,289607.4959541865
464,118806.77193501525,286568.14184739004
465,123978.93706193249,281985.03149467806
466,112362.45080663511,257503.9937142855
467,103743.84880664592,243235.9277358043
468,105867.80425408584,250031.68849113185
469,121376.35163906445,252525.81365322677
470,123309.3043901643,223622.36097648944
471,120429.26397336861,230837.4815884733
472,125754.55642831413,233550.7805246047
473,122698.76041903826,250808.80502486444
474,122585.47146509713,213404.15982020093
475,121636.20347160516,204875.13434694562
476,129357.13028225247,220015.66794679218
477,126095.9163991019,223297.14464170308
478,129043.2865376125,227337.0553390675
479,139356.26694237549,228640.48355258908
480,134019.25870482755,233771.55905997136
481,124093.62108843663,217582.9567429003
482,122945.08214450322,203678.54092969565
483,125486.49235066373,234700.1851442245
484,122624.95106454229,227524.59575856113
485,111767.52170200425,214894.45385709597
486,115952.05976378068,248370.83128091152
487,111252.65039844121,216276.1963473695
488,104992.18520209659,218684.92218495958
489,106172.1202140678,203112.06931099208
