,NO-N,NO-S
227,10.895282223885927,12.64285675528512
228,10.844808971036127,12.576890030326979
229,10.792051466405606,12.508487330948691
230,10.737025429194066,12.437669037865746
231,10.679747254514853,12.36445625152442
232,10.620234008509987,12.288870785814847
233,10.55850342326528,12.21093516157153
234,10.494573891527025,12.130672599863225
235,10.428464461221843,12.04810701507415
236,10.360194829781301,11.963263007778679
237,10.28978533827306,11.87616585741155
238,10.217256965340177,11.78684151473579
239,10.142631320950494,11.695316594110649
240,10.065930639957914,11.601618365561794
241,9.987177775477479,11.505774746656176
242,9.906396192076226,11.407814294183895
243,9.8236099587819,11.307766195649688
244,9.738843741911513,11.20566026057643
245,9.652122797721987,11.101526911623345
246,9.563472964885014,10.995397175521527
247,9.472920656788325,10.887302673829414
248,9.380492853665833,10.777275613511154
249,9.28621709455879,10.665348777340443
250,9.190121469110466,10.551555514132819
251,9.092234609196801,10.435929728809343
252,8.992585680395486,10.318505872294558
253,8.891204373296006,10.199318931251764
254,8.788120894653307,10.078404417658696
255,8.68336595838758,9.955798358226605
256,8.576970776433045,9.831537283666115
257,8.468967049438259,9.705658217802748
258,8.359386957320874,9.57819866654567
259,8.248263149679534,9.449196606712666
260,8.135628736065891,9.318690474714927
261,8.021517276119559,9.186719155104845
262,7.905962769568923,9.053321968990252
263,7.788999646100875,8.918538662318639
264,7.670662755102427,8.782409394034794
265,7.550987355277269,8.644974724115349
266,7.430009104140336,8.506275601483829
267,7.3077640473936265,8.366353351809888
268,7.184288608186318,8.225249665196252
269,7.059619576262363,8.083006583756996
270,6.933794096998993,7.939666489091123
271,6.806849660339113,7.795272089654793
272,6.678824089621163,7.649866408036332
273,6.549755530309504,7.503492768137481
274,6.419682438628996,7.356194782265059
275,6.288643570106817,7.208016338136511
276,6.156677968025209,7.059001585803508
277,6.023824951788474,6.9091949244973785
278,5.890124105207647,6.758640989400224
279,5.755615264706444,6.607384638345816
280,5.620338507451914,6.4554709384540985
